date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:06:24	147/147	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2019%20Feb%202019%2020:06:25%20GMT	http://widget-v4.tidiochat.com/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.js	C:/Users/Nico/Documents/GitHub/website/widget-v4.tidiochat.com/qshzxjj0m9rkmrxcc6ndgbfr5gwhcigh.11.delayed	(from http://motions.graphics/)
17:06:25	5352/5352	---MCZ	200	added ('OK')	application/javascript	etag:W/%225c6bd4ea-14e8%22	https://widget-v4.tidiochat.com/1_6_1/static/js/render.ef8cc0f8c5642fa214f5.js	C:/Users/Nico/Documents/GitHub/website/widget-v4.tidiochat.com/1_6_1/static/js/render.ef8cc0f8c5642fa214f5.js	(from http://motions.graphics/)
17:06:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2019%20Feb%202019%2020:06:26%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/Nico/Documents/GitHub/website/www.googletagmanager.com/gtm.135445.delayed	(from http://motions.graphics/)
17:06:25	1267/1267	---M--	200	added ('OK')	image/png	date:Tue,%2025%20Jul%202017%2023:54:49%20GMT	http://motions.graphics/wp-content/uploads/2017/07/logo_menusmall.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/07/logo_menusmall.png	(from http://motions.graphics/)
17:06:25	891/891	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2020:06:26%20GMT	http://motions.graphics/cotizador.html	C:/Users/Nico/Documents/GitHub/website/motions.graphics/cotizador.html	(from http://motions.graphics/)
17:06:26	97829/97829	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Feb%202019%2015:50:42%20GMT	http://motions.graphics/3d/	C:/Users/Nico/Documents/GitHub/website/motions.graphics/3d/index.html	(from http://motions.graphics/)
17:06:58	196754/196754	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:33%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Balloon.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Balloon.png	(from http://motions.graphics/)
17:07:01	237732/237732	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:42:06%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall11.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall11.png	(from http://motions.graphics/)
17:07:08	247949/247949	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:53%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Tree1.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Tree1.png	(from http://motions.graphics/)
17:07:17	99262/99262	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:51%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Lighting.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Lighting.png	(from http://motions.graphics/)
17:07:31	139947/139947	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:44%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall1.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall1.png	(from http://motions.graphics/)
17:07:39	250805/250805	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:49%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/MetaBall.png	(from http://motions.graphics/)
17:07:54	145170/145170	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:42:01%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Pencils.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Pencils.png	(from http://motions.graphics/)
17:07:55	96014/96014	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:42:09%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/60-min1.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/60-min1.png	(from http://motions.graphics/)
17:07:55	236473/236473	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:41:57%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/Clock.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/Clock.png	(from http://motions.graphics/)
17:07:58	16574/16574	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:42:13%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/logobigwhiteslider.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/logobigwhiteslider.png	(from http://motions.graphics/)
17:08:04	34308/34308	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Feb%202019%2023:42:50%20GMT	http://motions.graphics/wp-content/uploads/2018/09/MotelNow.00_00_08_02.Still005-500x500.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2018/09/MotelNow.00_00_08_02.Still005-500x500.jpg	(from http://motions.graphics/)
17:08:11	38431/38431	---M--	200	added ('OK')	image/jpeg	date:Wed,%2025%20Oct%202017%2018:00:21%20GMT	http://motions.graphics/wp-content/uploads/2017/10/ccu_thumb.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/10/ccu_thumb.jpg	(from http://motions.graphics/)
17:08:11	102640/102640	---M--	200	added ('OK')	image/png	date:Sun,%2006%20May%202018%2020:42:11%20GMT	http://motions.graphics/wp-content/uploads/revslider/Parallax/object.png	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/revslider/Parallax/object.png	(from http://motions.graphics/)
17:08:20	47093/47093	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Feb%202019%2023:44:37%20GMT	http://motions.graphics/wp-content/uploads/2017/07/4-stgo-innova-1-500x500.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/07/4-stgo-innova-1-500x500.jpg	(from http://motions.graphics/)
17:08:22	60722/60722	---M--	200	added ('OK')	image/jpeg	date:Sun,%2017%20Feb%202019%2023:44:50%20GMT	http://motions.graphics/wp-content/uploads/2017/07/2-fundacion-vivienda-500x500.jpg	C:/Users/Nico/Documents/GitHub/website/motions.graphics/wp-content/uploads/2017/07/2-fundacion-vivienda-500x500.jpg	(from http://motions.graphics/)
